nombre,dirección,localidad,upz,entidad_administradora,carácter,uso_principal
Espacio Adecuado Fontibón Baobad,KR 100 23 22,Fontibón,Fontibon,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,Público,Centro Cultural y Artístico
Escuela Popular Nokanchipa,KR 100A 41 85 SUR,Kennedy,Patio Bonito,ESCUELA POPULAR NOKANCHIPA,Privado,Centro Cultural y Artístico
Centro Musical San Rafael,CL 135 52 A 55,Suba,El Prado,FUNDACIÓN NACIONAL BATUTA,Privado,Centro Cultural y Artístico
Fundación Rafael Pombo,CL 10 5 22,Candelaria,La Candelaria,FUNDACIÓN RAFAEL POMBO,Privado,Centro Cultural y Artístico
Clan Rafael Uribe Uribe San José,KR 12D 22 80 sur,Rafael Uribe Uribe,San Jose,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,Público,Centro Cultural y Artístico
Clan Suba Centro,Cl 146B 91 44,Suba,Suba,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,Público,Centro Cultural y Artístico
Clan Usme Cantarana,KR 1A BIS 100 45 SUR,Usme,Comuneros,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,Público,Centro Cultural y Artístico
Centro Musical Kennedy,KR 72C BIS 06 08 SUR,Kennedy,Americas,FUNDACIÓN NACIONAL BATUTA,Mixto,Centro Cultural y Artístico
Centro De Desarrollo Comunitario Arborizadora Alta,CL 70 SUR 34 05,Ciudad Bolívar,Jerusalem,SECRETARÍA DISTRITAL DE INTEGRACIÓN SOCIAL,Público,Centro Cultural y Artístico
Corporación Instituto De Cultura Brasil Colombia,KR 9 70A 11,Chapinero,Chico Lago,CORPORACIÓN INSTITUTO DE CULTURA BRASIL COLOMBIA,Privado,Centro Cultural y Artístico
Instituto Cultural León Tolstoi,CL 12C 3 86,Candelaria,La Candelaria,INSTITUTO CULTURAL LEÓN TOLSTOI,Privado,Centro Cultural y Artístico
Escuela De Música Y Audio Fernando Sor,AC 26 34A 37,Teusaquillo,Quinta Paredes,ESCUELA DE MÚSICA FERNANDO SOR S.A.S,Privado,Centro Cultural y Artístico
Clan Barrios Unidos 12 De Octubre,KR 55 75 40,Barrios Unidos,Doce De Octubre,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,Público,Centro Cultural y Artístico
Clan Fontibón Las Flores,CL 23 G 111 16,Fontibón,Fontibon,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,Público,Centro Cultural y Artístico
Casa Santander,KR 5A 35 39,Santa Fe,Sagrado Corazon,GOBERNACIÓN DE SANTANDER,Público,Centro Cultural y Artístico
Clan Bosa San Pablo,CL 68 SUR 78 H 37,Bosa,Bosa Central,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,Público,Centro Cultural y Artístico
Goethe-Institut Kolumbien,KR 11A 93 52,Chapinero,Chico Lago,GOETHE-INSTITUT KOLUMBIEN,Privado,Centro Cultural y Artístico
Cade Patio Bonito,KR 87 5B 21 SUR,Kennedy,Patio Bonito,PARAÍSO COLOMBIA - PUNTOS CARDINALES,Público,Centro Cultural y Artístico
Clan Suba Villa Maria,CL 139 110 05,Suba,El Rincon,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,Público,Centro Cultural y Artístico
Coorporación Cecudec (Centro Cultural De Desarrollo Comunitario) Y Biblioteca Comunitaria Instituto Cerros Del Sur,CL 81 SUR 42 09,Ciudad Bolívar,Jerusalem,CORPORACIÓN CENTRO CULTURAL DE DESARROLLO COMUNITARIO EVARISTO BERNATE,Privado,Centro Cultural y Artístico
Casona De La Danza,KR 5 ESTE 17 01,Candelaria,La Candelaria,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,Público,Centro Cultural y Artístico
Casa Del Huila,CL 35 6 13,Santa Fe,Sagrado Corazon,CASA DEL HUILA,Público,Centro Cultural y Artístico
Espacio Adecuado Fontibón Misak,KR 125 20 10,Fontibón,Fontibon San Pablo,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,Público,Centro Cultural y Artístico
Compañía America Danza,KR 59 45A 40,Teusaquillo,La Esmeralda,COMPAÑÍA AMERICA DANZA,Mixto,Centro Cultural y Artístico
Clan Ciudad Bolívar Lucero Bajo,KR 17D BIS 64A 54 SUR,Ciudad Bolívar,Lucero,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,Público,Centro Cultural y Artístico
Casa Del Tolima,CL 34 5 81,Santa Fe,Sagrado Corazon,CASA DEL TOLIMA,Público,Centro Cultural y Artístico
Fundación Cultural Tea Tropical,KR 77 49 09 SUR,Kennedy,Timiza,FUNDACIÓN CULTURAL TEA TROPICAL,Privado,Centro Cultural y Artístico
Escuela De Cine Black María,KR 18 82 35,Chapinero,Chico Lago,COORPORACIÓN BLACK MARÍA,Privado,Centro Cultural y Artístico
Asociacion Cultural Adra,DG 42A 20 45,Teusaquillo,Teusaquillo,ASOCIACIÓN CULTURAL ADRA,Privado,Centro Cultural y Artístico
Clan Ciudad Bolívar Meissen,CL 63 17A 38 SUR,Ciudad Bolívar,Lucero,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,Público,Centro Cultural y Artístico
Sprach Institut,KR 7 42 11,Chapinero,Chapinero,SPRACH INSTITUT,Privado,Centro Cultural y Artístico
Centro De Desarrollo Comunitario Kennedy,AC 43 SUR 80 B 33,Kennedy,Gran Britalia,SECRETARÍA DISTRITAL DE INTEGRACIÓN SOCIAL,Público,Centro Cultural y Artístico
